,Compound,R2,LOQ,SFBlank_1,SFBlank_2,SFBlank_3,Nov11_1,Nov11_2,Nov11_3,Nov13_1,Nov13_2,Nov13_3,Nov14_1,Nov14_2,Nov14_3,Nov15_1,Nov15_2,Nov15_3,Nov16_1,Nov16_2,Nov16_3,Nov17_1,Nov17_2,Nov17_3,Nov18_1,Nov18_2,Nov18_3,Nov19_1,Nov19_2,Nov19_3,Nov20_1,Nov20_2,Nov20_3,Nov21_1,Nov21_2,Nov21_3,Nov22_1,Nov22_2,Nov22_3,Nov23_1,Nov23_2,Nov23_3,Nov24_1,Nov24_2,Nov24_3,Nov25_1,Nov25_2,Nov25_3,Nov26_1,Nov26_2,Nov26_3,Nov27_1,Nov27_2,Nov27_3,Nov28_1,Nov28_2,Nov28_3,Nov29_1,Nov29_2,Nov29_3,Nov30_1,Nov30_2,Nov30_3,Dec1_1,Dec1_2,Dec1_3,FFBlank_1,FFBlank_2,FFBlank_3
34,Atropine,0.9712,25,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,51.93037581,44.03888985,62.39113609,33.13504273,33.8127199,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,46.27100811,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,52.88347484,58.94283574,61.42558443,<LOQ,<LOQ,<LOQ
35,Baclofen,0.9841,25,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,99.73947491,79.78720186,82.07385014,<LOQ,<LOQ,<LOQ,87.29660065,72.66662557,88.53366542,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
36,Bentazone,0.9235,1,0.058440514,0.064638603,0.02935644,2.133273684,2.010166581,2.012830456,1.913989391,2.792226236,1.305042833,1.887208474,0.597513873,3.143377658,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,0.18843191,0.203942559,0.368615464,0.814644644,1.264364536,1.03950459,0.620191936,0.784919735,0.622646946,1.435446788,0.777969441,0.468365638,0.618116359,0.814333168,0.197551124,<LOQ,0.279316297,0.185020855,<LOQ,<LOQ,<LOQ,0.245044757,<LOQ,0.295642393,2.466355343,0.952039844,2.103261901,1.251767355,1.654366095,1.790942432,0.261848348,0.178866085,0.188480451,<LOQ,0.238697539,0.171776404,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,2.278934316,2.254615549,1.932761506,0.232588826,0.274693107,0.224698801
37,Benzophenone,0.0048,NA,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
38,Benzothiazole,0.0235,NA,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
39,Benzotriazole,0.9494,25,74.60154328,86.77432334,72.50829272,4254.949656,3250.874465,3354.965578,2126.100578,1849.171299,2411.384527,1630.114258,1511.550342,2160.10061,1121.301279,1155.343741,1706.149212,1115.371707,1107.370144,1169.507519,1079.102745,1406.770237,1299.822365,2089.26537,2546.970749,2318.11806,2412.522205,1791.488282,2070.074635,1303.650804,1931.807088,2072.341431,2141.449522,1632.935316,1342.355888,1100.117228,1283.044073,1126.767762,1118.275187,1037.453071,1126.862511,1888.642791,1984.979173,2111.983274,1548.519599,1208.7093,1045.757966,1251.868669,1325.239309,1205.738889,511.7929509,487.0913611,467.6177268,363.2423274,360.0250974,358.2925081,548.7252967,454.2262309,442.7344357,567.6088446,524.0420894,626.8460463,1499.167849,1327.533234,1766.670937,25.29057169,36.3106194,<LOQ
40,Benzotriazole_methyl-1H,0.9875,1,135.2387987,146.6964708,152.1642273,39466.03657,39482.65366,42934.59512,18693.01016,16167.9599,17847.02024,19770.03924,18463.61351,17878.87884,13180.32904,13944.38604,12774.95229,11254.07341,10791.39982,11395.77826,9428.26188,10304.92244,8924.481302,24494.00081,23020.49915,23757.24998,20005.51461,18215.96604,21266.53495,17776.02205,20523.49275,19263.5645,22063.49017,20824.43681,20662.68622,13282.62408,14197.92889,14346.025,10098.92464,10444.97526,9871.943011,15882.5916,16593.27066,14415.54289,23445.5541,23676.71661,25300.94892,19518.96785,18312.49262,19401.70571,13754.55469,14183.49844,13429.45016,15243.80499,15681.19933,15129.77052,15205.71248,16157.27528,15935.1373,18174.42147,17936.05852,17840.38241,23060.22327,23240.50235,21720.252,411.4390164,364.7145164,388.2998274
41,Benzoylecgonine,0.9844,50,<LOQ,<LOQ,<LOQ,225.786515,172.2639585,175.9557981,195.7655356,147.7462182,263.3882046,154.3160773,184.6693896,236.7669314,144.7050381,152.3879829,182.1848022,126.3108148,108.1994457,120.3887347,139.8134134,191.0061786,222.8346321,248.645238,260.026755,254.3359965,171.1574448,146.1068504,141.2577691,143.7580984,181.461375,177.7855745,178.1761933,149.4201059,161.0173232,108.7293596,121.4059867,90.19192193,116.2302152,120.2568107,125.7269187,117.5004426,136.2440858,140.6479602,129.0878896,150.519188,120.2418182,161.5495164,191.5244174,135.7405471,89.6659207,79.04068452,97.22745148,91.95748806,108.714763,82.33515354,99.99143279,98.55210343,97.1879289,89.94825167,82.7173984,91.25283023,180.1112534,211.8079139,219.4609335,<LOQ,<LOQ,<LOQ
42,Bupropion,0.9978,5,<LOQ,<LOQ,<LOQ,743.345185,792.5161567,881.9231134,626.7158954,666.2922717,647.3091735,548.3593393,622.4971064,610.9415071,514.5517374,505.7291599,501.3433047,442.6883851,445.8786839,461.0881279,1070.782236,1172.798293,1176.6016,426.1628389,441.5109056,433.8368722,496.9918936,561.7847849,562.628975,615.6317797,547.7332036,589.5126867,730.5682273,668.324019,692.7410617,571.1555597,529.36138,551.2284819,487.0382273,502.371873,505.0953738,634.4708569,652.753711,615.677768,513.3515782,548.33597,569.9038425,552.0519172,598.8199218,529.6606077,418.598478,425.0462229,429.2602011,435.7123468,408.5275963,433.2868707,448.5201835,447.7684052,515.4245042,418.6843673,416.9543155,438.511368,471.9035352,528.9821793,519.8505036,26.69606814,24.88319326,24.97732423
43,Butalbital,0.9922,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,2.125864029,4.196490501,2.036508671
44,Caffeine,0.9925,25,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
45,Candesartan,0.9952,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
46,Carbamazepine,0.9974,1,<LOQ,<LOQ,<LOQ,249.6391974,256.0513449,277.6870651,252.7805947,264.2589826,253.8760186,242.9786151,211.8217187,218.8131266,213.3020879,222.5708713,231.7000438,333.5032089,308.8572739,319.0485334,243.8829218,238.2062452,248.6264933,260.4943391,256.6150505,258.5546948,236.9599385,241.9968887,230.5009688,248.6297913,250.1775775,264.3783773,251.8307674,251.4304041,226.8130836,253.1661987,231.7787553,244.5482861,248.9425345,244.1497692,243.4959968,194.2214981,209.9469044,221.876122,265.1458544,272.3608198,278.2414458,252.0150504,234.9889095,252.2445347,197.0282154,192.1987358,207.0569288,227.6131886,229.9911816,236.3389912,281.2880354,283.1923852,271.3951804,213.466475,229.1618537,228.4051185,244.5693828,262.2935118,269.9080381,2.240075378,1.296612403,1.774329428
47,"Carbamazepine-10,11-epoxide",0.9961,1,<LOQ,<LOQ,<LOQ,319.56741,236.3263555,291.9474335,730.7775885,817.6553489,803.4697565,339.1050231,343.3615181,319.3954282,288.7595013,291.3326467,329.4195054,320.6084987,317.0105182,324.7984563,339.0235544,334.1838478,336.8290574,209.5423246,187.3096454,198.425985,231.5441054,199.5694585,174.0295384,138.975312,229.0410461,163.3543984,291.2345932,309.0604773,272.7501715,330.2681826,304.6208375,243.8799246,305.4707218,289.4910449,351.7461776,244.6941981,250.4718824,260.6224356,229.2623875,232.8144405,229.3793585,210.4568961,277.4329366,215.2912886,217.4447206,209.7663053,250.0159979,294.9082283,300.7165759,258.4622239,229.5062448,255.5777774,166.2768234,262.1210879,273.4073241,246.457907,212.9491224,207.8080846,285.9462306,<LOQ,<LOQ,2.841291523
48,Carbendazim,0.9969,5,<LOQ,<LOQ,<LOQ,279.0270592,283.2856613,322.9570107,326.0082637,306.4662217,387.5223917,278.1642369,277.4601457,239.7507044,343.4882786,306.7764296,359.4724531,297.2832532,331.522778,278.8082232,189.2785232,187.7483749,220.4367458,258.7387341,262.6881585,260.7134463,294.6780847,233.8341972,283.0777625,229.2985694,242.4547461,219.6433103,202.7319216,198.1188013,195.7968677,196.3001627,186.0521739,198.8110356,219.1192873,181.3317111,165.6618092,218.0677638,210.5386125,224.8942585,226.8432293,189.9066813,192.6674284,165.5044001,205.9920816,168.5644778,116.1867279,120.0876446,136.9583098,131.8013379,140.9748564,158.7122548,213.8460291,201.6560618,184.9224963,197.1222136,251.2301761,247.9749198,167.9618813,177.10326,213.7903694,<LOQ,<LOQ,<LOQ
49,Carisoprodol,0.9995,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,509.1489203,519.6983749,512.2952385,101.2907806,102.2914469,104.5034033,27.83940702,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
50,Celecoxib,0.9935,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
51,Cetirizine,0.907,1,<LOQ,<LOQ,<LOQ,2184.924333,1904.564645,2575.936257,3187.394826,3454.342966,2401.727386,782.810204,757.9717525,763.8666509,734.8731729,861.627623,781.4254389,708.120738,709.7668113,798.3276673,1599.905111,1771.938684,1457.090261,1138.706926,1216.334381,1177.520654,904.2351849,828.6428145,956.133476,1432.14138,1548.211692,1505.814363,2363.914204,1427.339277,2093.417491,1231.385539,1394.621135,1448.779332,1241.69114,1297.516015,1194.92971,1333.038139,1226.146945,1310.18585,1437.413565,1291.811293,1133.818901,1980.515057,1764.890509,1736.371591,1670.334077,1494.648923,1964.533531,1451.986285,1479.845382,1340.312193,743.9374915,827.8378995,820.3844263,1331.209796,1142.855358,1204.915223,1289.777365,2027.825205,1369.278714,21.9526924,25.04256006,22.73153934
52,Chlorpheniramine,0.9757,50,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
53,Cimetidine,0.828,50,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
54,Ciprofloxacin,0.9121,50,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
55,Citalopram,0.9948,5,<LOQ,<LOQ,<LOQ,85.95174591,<LOQ,77.43791439,107.1307045,116.7652671,100.891217,137.0520806,134.7383786,129.3263157,115.8620118,114.5220744,111.5013401,89.1930155,89.24767453,90.9505774,215.5862676,274.8985609,254.825212,69.34124017,66.1742369,67.75773854,111.7908916,100.8243606,110.7870414,149.4084714,145.4748735,151.3770331,150.5111042,159.888749,161.7549869,107.5512742,112.1706859,112.1379316,140.2836376,131.2980443,139.700794,126.1242125,119.3171308,126.0550149,136.4223835,140.5995527,144.5471344,134.1250974,137.7305445,122.5618981,133.3382612,139.5989912,144.8271948,136.3163063,130.1967395,147.344581,147.8786369,143.1026697,152.4986758,124.1420608,131.9465403,131.1374873,91.472098,101.9979346,107.0507461,<LOQ,26.34434149,<LOQ
56,Citric_Acid,0.1479,1,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM,DNM
57,Clarithromycin,0.9832,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,114.5482928,134.0883547,111.8797008,90.87105997,119.6840096,131.8010435,164.6140907,188.9492493,167.6439667,166.20961,169.09545,151.0383209,95.55194561,100.1017468,83.91306127,220.0090562,193.2532147,206.6311354,232.3285909,246.5554422,286.6493268,143.8925459,145.2391774,150.9840756,146.2103574,130.1758474,126.3611524,249.979813,251.4906877,219.5199206,289.4277727,271.4593315,235.7800899,230.1756327,197.0777241,229.7117871,234.1687958,261.6141068,277.5945144,207.0645226,207.6286249,181.6455097,90.33755402,89.70793767,82.82515006,85.86336939,77.30152106,87.16036782,91.49844044,108.6229048,105.7236186,103.9284725,108.1101479,94.85970841,193.4361513,180.4564319,175.1401286,<LOQ,<LOQ,<LOQ
58,Climbazole,0.9833,1,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
59,Clindamycin,0.8565,25,<LOQ,<LOQ,<LOQ,323.9745967,299.4464325,340.8755652,428.469832,354.1172513,377.5879256,358.7933868,304.0481821,379.9807536,351.5133931,367.6618577,353.3843932,323.3439075,335.0605695,310.2693521,455.2995892,320.9998894,419.9264726,351.1951939,410.0997245,380.6474592,266.9944354,307.0106587,332.265876,291.4089674,362.5043674,328.9538197,279.5248879,301.4312919,297.6685025,491.5711046,472.2758065,496.2600911,423.3744883,395.1113053,433.2045084,457.0538926,427.0924389,474.7920335,385.650851,400.5846081,360.2321312,405.4017975,352.1620915,398.6094208,226.2536132,207.5495689,242.0439047,277.4880385,289.1738706,325.7113522,233.9366303,246.9569266,237.3763546,291.6980116,229.299273,236.0262158,316.788945,257.3711953,276.1611484,<LOQ,<LOQ,<LOQ
60,Codeine,0.9831,1,<LOQ,<LOQ,<LOQ,77.34515133,70.0251846,77.83642617,62.07939503,56.10747334,66.70456217,86.93854966,72.07332491,65.25620877,65.87090401,81.52646742,75.20695602,80.70230568,96.84229851,81.85896504,34.84676942,38.67724514,40.41116813,114.4151308,119.8145454,117.1148381,128.070684,126.8456459,140.9507024,124.7674382,115.9678026,117.6206054,93.02289354,91.68149339,90.78844396,118.4483475,120.5566844,134.7132334,98.38852719,109.3832588,101.9925477,101.3150353,104.7407057,107.0450051,132.3592352,115.1959909,130.6083673,97.47055315,112.0134856,106.9487417,60.51413191,50.87894885,53.4403878,62.79631242,64.5647195,64.23566514,71.77602842,60.63593516,64.10947363,54.72102402,57.43116072,60.92069357,64.39109079,50.68556931,61.63748542,3.257016376,2.792209068,2.391529525
61,Corticosterone,0.9954,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,352.4897563,455.9597378,404.2247471,434.5333291,245.9477195,156.9089643,<LOQ,<LOQ,<LOQ,342.8593617,154.3360901,181.3698529,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,170.8625846,541.8609749,100.8467314,204.2009505,227.6214796,107.4743672,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ
62,Cotinine,0.9383,1,3.367114224,2.90682406,2.190840042,226.7139307,164.5701619,345.8245357,132.2148587,153.6056245,233.0247565,219.2006426,374.7092283,193.4613665,76.31498177,159.0882926,127.3846596,107.7415818,45.31869563,84.04860939,115.576664,122.32954,96.96843283,561.6366738,365.3040932,463.4703835,278.1601954,125.3647452,258.4618985,206.1297955,480.0434968,353.0942995,188.7725261,138.2373569,133.8864595,93.75454163,69.60700251,37.32893917,293.4017393,39.67853975,45.03681099,49.10749252,89.35198803,71.10589828,156.8135239,129.0226031,123.728501,97.46548197,94.48855,157.244927,44.92362075,35.68249074,29.61477267,40.54512035,37.91130372,35.75316644,48.40683501,53.52573618,74.72289516,38.52461657,48.40910811,29.65598072,206.971715,94.05759976,125.1780418,2.469855608,0.679531126,1.517513472
63,Coumarin,0.8891,1,-16.68522772,-17.79466187,-22.06090998,-19.22768797,-19.67178624,-17.16682818,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,-22.44417081,-17.89972134,-20.30307065,-10.7936679,-8.840011361,-14.9216708,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,-18.59579023,-13.60166677,-11.02191359,-17.14956256,-19.32016065,-16.81203204,-12.76339472,-18.0433368,-19.33693722,<LOQ,<LOQ,<LOQ,-20.53679479,-20.54707015,-18.85243867,<LOQ,<LOQ,<LOQ,-8.657007326,15.03198176,-13.73746278
64,DEET,0.9848,1,18.44251683,21.61344512,17.60402108,592.5980209,567.2166237,631.9247984,425.0443172,432.4787107,420.226154,632.0085451,552.4016752,591.2211341,557.6206596,557.8743049,607.1885968,622.5568716,613.714537,605.1239844,84.19211372,80.99903901,80.71283439,1073.049372,1071.282696,1072.166034,694.5634571,767.5701598,700.4751255,389.9751248,397.2061561,431.4463182,754.2059572,763.4380294,690.4114198,636.658235,646.999,628.3069711,676.5274891,589.8293057,703.2337558,686.2030379,694.198052,717.5636867,4204.964895,4211.092804,4281.629838,971.8727603,986.8504818,1046.78411,308.5839883,285.3623831,318.3368996,345.2426215,334.9864795,330.0939426,334.53372,377.1192112,357.554043,777.9379104,795.4006862,739.1888192,1051.47745,1154.996405,1196.023447,14.62743984,12.54647843,12.43094076
65,Desmethylvenlafaxine,0.9955,25,<LOQ,<LOQ,<LOQ,1821.816408,1865.697591,1894.965347,1918.971795,1964.363751,1701.84098,2421.687754,1957.564498,2297.263431,2225.486218,2324.796862,1991.157026,1908.582534,1850.683672,1815.576928,1826.450623,1763.083258,1580.011342,3128.388044,3048.777571,3088.582808,2388.245568,2322.338097,2466.927032,1844.458622,1859.269942,1853.15936,2024.228743,1956.449058,2293.973745,2002.025018,1989.57111,1936.344152,2011.844601,2019.279088,1977.976231,1917.243328,1862.063718,1850.304122,1961.713438,1922.426704,2004.295782,1828.614778,1807.889206,1831.362519,1294.136636,1146.898959,1150.58038,1435.060326,1363.288281,1328.084575,1529.429576,1481.202431,1477.978076,1637.073586,1733.651913,1776.330119,1835.824651,2042.515385,1925.573651,36.99263582,28.99055189,30.65871114
66,Dexamethasone,0.9379,50,<LOQ,<LOQ,<LOQ,532.3480545,219.4500706,734.5904754,529.859541,323.0542437,499.3014426,477.8507088,162.7105017,432.9652898,<LOQ,390.8706962,<LOQ,284.6103313,522.6180652,314.5648811,131.0307073,60.56041492,90.38775741,138.2486156,409.3522371,273.8004263,185.4920061,<LOQ,73.31967414,314.2564652,325.4506375,152.7176588,<LOQ,361.4776377,105.6776184,145.4253325,<LOQ,193.0374247,<LOQ,89.75825228,121.4623111,128.1696814,<LOQ,69.47329558,51.94537118,157.5689663,<LOQ,<LOQ,187.7477497,334.6263199,143.3128868,100.6117622,60.28839322,171.9606878,190.3661649,184.6542244,94.98808621,183.8048482,270.4379529,191.4868551,135.2467721,104.066242,<LOQ,<LOQ,<LOQ,141.2498752,90.30578584,<LOQ
67,Dextromethorphan,0.9977,5,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,<LOQ,126.8109417,124.1577929,124.7969984,117.5179251,111.5787377,113.0704416,113.9634458,114.801893,113.969274,140.309007,125.9685485,140.6643395,125.1125642,125.8166479,118.7700215,121.1309126,114.7382023,117.9345574,106.9758791,106.3669034,105.4095384,124.3010089,112.52097,113.1377095,114.9888656,112.0504981,120.8734012,107.4143666,98.64141506,114.6319603,113.5021578,110.854359,113.0080962,114.3819981,122.0846925,112.6209503,142.0439445,145.5363728,128.5945711,150.6792171,149.2525704,160.065559,97.72230602,104.0734565,103.1433062,104.8603566,102.4843756,108.2373715,102.0971831,100.7874591,105.168528,95.69986578,107.1651495,99.63855192,98.25850959,95.46999678,113.082654,<LOQ,<LOQ,<LOQ
